train_loss_step,epoch,step,val_loss,val_acc,val_f1,val_mcc,train_loss_epoch,train_acc,train_f1,train_mcc,test_loss,test_acc,test_f1,test_mcc
16.013891220092773,0,49,,,,,,,,,,,,
18.791229248046875,0,99,,,,,,,,,,,,
2.642831802368164,0,149,,,,,,,,,,,,
7.528296947479248,0,199,,,,,,,,,,,,
2.9782111644744873,0,249,,,,,,,,,,,,
4.073358058929443,0,299,,,,,,,,,,,,
7.385615348815918,0,349,,,,,,,,,,,,
5.541936874389648,0,399,,,,,,,,,,,,
2.5776095390319824,0,449,,,,,,,,,,,,
0.46738725900650024,0,499,,,,,,,,,,,,
3.4127607345581055,0,549,,,,,,,,,,,,
7.18503475189209,0,599,,,,,,,,,,,,
7.65168571472168,0,649,,,,,,,,,,,,
11.371899604797363,0,699,,,,,,,,,,,,
5.5037455558776855,0,749,,,,,,,,,,,,
2.6515207290649414,0,799,,,,,,,,,,,,
4.587973594665527,0,849,,,,,,,,,,,,
3.093459129333496,0,899,,,,,,,,,,,,
1.5905705690383911,0,949,,,,,,,,,,,,
0.36069533228874207,0,999,,,,,,,,,,,,
2.980510711669922,0,1049,,,,,,,,,,,,
4.574313163757324,0,1099,,,,,,,,,,,,
0.8672798275947571,0,1149,,,,,,,,,,,,
10.231630325317383,0,1199,,,,,,,,,,,,
10.086320877075195,0,1249,,,,,,,,,,,,
5.09796142578125,0,1299,,,,,,,,,,,,
5.761631488800049,0,1349,,,,,,,,,,,,
4.192893981933594,0,1399,,,,,,,,,,,,
3.6776084899902344,0,1449,,,,,,,,,,,,
0.16514071822166443,0,1499,,,,,,,,,,,,
3.7406535148620605,0,1549,,,,,,,,,,,,
1.6552056074142456,0,1599,,,,,,,,,,,,
2.579554796218872,0,1649,,,,,,,,,,,,
5.5884318351745605,0,1699,,,,,,,,,,,,
0.26315611600875854,0,1749,,,,,,,,,,,,
2.1236748695373535,0,1799,,,,,,,,,,,,
6.012466907501221,0,1849,,,,,,,,,,,,
1.0909169912338257,0,1899,,,,,,,,,,,,
5.297023773193359,0,1949,,,,,,,,,,,,
6.584580898284912,0,1999,,,,,,,,,,,,
1.8989547491073608,0,2049,,,,,,,,,,,,
4.106057643890381,0,2099,,,,,,,,,,,,
10.597908020019531,0,2149,,,,,,,,,,,,
5.053247451782227,0,2199,,,,,,,,,,,,
1.0837211608886719,0,2249,,,,,,,,,,,,
5.358700752258301,0,2299,,,,,,,,,,,,
0.041419822722673416,0,2349,,,,,,,,,,,,
14.815274238586426,0,2399,,,,,,,,,,,,
28.90686798095703,0,2449,,,,,,,,,,,,
22.49591636657715,0,2499,,,,,,,,,,,,
6.127040863037109,0,2549,,,,,,,,,,,,
